//slot num : id subid amount
slot 0 : 9 0 10
slot 1 : 7 0 10
slot 2 : 6 0 10
slot 3 : 0 0 0
slot 4 : 0 0 0
slot 5 : 0 0 0
slot 6 : 0 0 0
slot 7 : 0 0 0
slot 8 : 0 0 0
slot 9 : 0 0 0
slot 10 : 0 0 0
slot 11 : 0 0 0
slot 12 : 0 0 0
slot 13 : 0 0 0
slot 14 : 0 0 0
slot 15 : 0 0 0
slot 16 : 0 0 0
slot 17 : 0 0 0
slot 18 : 0 0 0
slot 19 : 0 0 0
slot 20 : 0 0 0
slot 21 : 0 0 0
slot 22 : 0 0 0
slot 23 : 0 0 0
slot 24 : 0 0 0
slot 25 : 0 0 0
slot 26 : 0 0 0
slot 27 : 0 0 0
slot 28 : 0 0 0
slot 29 : 0 0 0
//note that items with id higher than 1073741823 can't be placed on the map
